Samples labels class
graph_1_mu_0.5 0.5 1
graph_2_mu_0.5 0.5 1
graph_3_mu_0.5 0.5 1
graph_4_mu_0.5 0.5 1
graph_5_mu_0.5 0.5 1
graph_6_mu_0.5 0.5 1
graph_7_mu_0.5 0.5 1
graph_8_mu_0.5 0.5 1
graph_9_mu_0.5 0.5 1
graph_10_mu_0.5 0.5 1
graph_11_mu_0.5 0.5 1
graph_12_mu_0.5 0.5 1
graph_13_mu_0.5 0.5 1
graph_14_mu_0.5 0.5 1
graph_15_mu_0.5 0.5 1
graph_16_mu_0.5 0.5 1
graph_17_mu_0.5 0.5 1
graph_18_mu_0.5 0.5 1
graph_19_mu_0.5 0.5 1
graph_20_mu_0.5 0.5 1
graph_21_mu_0.5 0.5 1
graph_22_mu_0.5 0.5 1
graph_23_mu_0.5 0.5 1
graph_24_mu_0.5 0.5 1
graph_25_mu_0.5 0.5 1
graph_26_mu_0.5 0.5 1
graph_27_mu_0.5 0.5 1
graph_28_mu_0.5 0.5 1
graph_29_mu_0.5 0.5 1
graph_30_mu_0.5 0.5 1
graph_31_mu_0.5 0.5 1
graph_32_mu_0.5 0.5 1
graph_33_mu_0.5 0.5 1
graph_34_mu_0.5 0.5 1
graph_35_mu_0.5 0.5 1
graph_36_mu_0.5 0.5 1
graph_37_mu_0.5 0.5 1
graph_38_mu_0.5 0.5 1
graph_39_mu_0.5 0.5 1
graph_40_mu_0.5 0.5 1
graph_41_mu_0.5 0.5 1
graph_42_mu_0.5 0.5 1
graph_43_mu_0.5 0.5 1
graph_44_mu_0.5 0.5 1
graph_45_mu_0.5 0.5 1
graph_46_mu_0.5 0.5 1
graph_47_mu_0.5 0.5 1
graph_48_mu_0.5 0.5 1
graph_49_mu_0.5 0.5 1
graph_50_mu_0.5 0.5 1
graph_51_mu_0.5 0.5 1
graph_52_mu_0.5 0.5 1
graph_53_mu_0.5 0.5 1
graph_54_mu_0.5 0.5 1
graph_55_mu_0.5 0.5 1
graph_56_mu_0.5 0.5 1
graph_57_mu_0.5 0.5 1
graph_58_mu_0.5 0.5 1
graph_59_mu_0.5 0.5 1
graph_60_mu_0.5 0.5 1
graph_61_mu_0.5 0.5 1
graph_62_mu_0.5 0.5 1
graph_63_mu_0.5 0.5 1
graph_64_mu_0.5 0.5 1
graph_65_mu_0.5 0.5 1
graph_66_mu_0.5 0.5 1
graph_67_mu_0.5 0.5 1
graph_68_mu_0.5 0.5 1
graph_69_mu_0.5 0.5 1
graph_70_mu_0.5 0.5 1
graph_71_mu_0.5 0.5 1
graph_72_mu_0.5 0.5 1
graph_73_mu_0.5 0.5 1
graph_74_mu_0.5 0.5 1
graph_75_mu_0.5 0.5 1
graph_76_mu_0.5 0.5 1
graph_77_mu_0.5 0.5 1
graph_78_mu_0.5 0.5 1
graph_79_mu_0.5 0.5 1
graph_80_mu_0.5 0.5 1
graph_81_mu_0.5 0.5 1
graph_82_mu_0.5 0.5 1
graph_83_mu_0.5 0.5 1
graph_84_mu_0.5 0.5 1
graph_85_mu_0.5 0.5 1
graph_86_mu_0.5 0.5 1
graph_87_mu_0.5 0.5 1
graph_88_mu_0.5 0.5 1
graph_89_mu_0.5 0.5 1
graph_90_mu_0.5 0.5 1
graph_91_mu_0.5 0.5 1
graph_92_mu_0.5 0.5 1
graph_93_mu_0.5 0.5 1
graph_94_mu_0.5 0.5 1
graph_95_mu_0.5 0.5 1
graph_96_mu_0.5 0.5 1
graph_97_mu_0.5 0.5 1
graph_98_mu_0.5 0.5 1
graph_99_mu_0.5 0.5 1
graph_100_mu_0.5 0.5 1
graph_1_mu_0.8 0.8 2
graph_2_mu_0.8 0.8 2
graph_3_mu_0.8 0.8 2
graph_4_mu_0.8 0.8 2
graph_5_mu_0.8 0.8 2
graph_6_mu_0.8 0.8 2
graph_7_mu_0.8 0.8 2
graph_8_mu_0.8 0.8 2
graph_9_mu_0.8 0.8 2
graph_10_mu_0.8 0.8 2
graph_11_mu_0.8 0.8 2
graph_12_mu_0.8 0.8 2
graph_13_mu_0.8 0.8 2
graph_14_mu_0.8 0.8 2
graph_15_mu_0.8 0.8 2
graph_16_mu_0.8 0.8 2
graph_17_mu_0.8 0.8 2
graph_18_mu_0.8 0.8 2
graph_19_mu_0.8 0.8 2
graph_20_mu_0.8 0.8 2
graph_21_mu_0.8 0.8 2
graph_22_mu_0.8 0.8 2
graph_23_mu_0.8 0.8 2
graph_24_mu_0.8 0.8 2
graph_25_mu_0.8 0.8 2
graph_26_mu_0.8 0.8 2
graph_27_mu_0.8 0.8 2
graph_28_mu_0.8 0.8 2
graph_29_mu_0.8 0.8 2
graph_30_mu_0.8 0.8 2
graph_31_mu_0.8 0.8 2
graph_32_mu_0.8 0.8 2
graph_33_mu_0.8 0.8 2
graph_34_mu_0.8 0.8 2
graph_35_mu_0.8 0.8 2
graph_36_mu_0.8 0.8 2
graph_37_mu_0.8 0.8 2
graph_38_mu_0.8 0.8 2
graph_39_mu_0.8 0.8 2
graph_40_mu_0.8 0.8 2
graph_41_mu_0.8 0.8 2
graph_42_mu_0.8 0.8 2
graph_43_mu_0.8 0.8 2
graph_44_mu_0.8 0.8 2
graph_45_mu_0.8 0.8 2
graph_46_mu_0.8 0.8 2
graph_47_mu_0.8 0.8 2
graph_48_mu_0.8 0.8 2
graph_49_mu_0.8 0.8 2
graph_50_mu_0.8 0.8 2
graph_51_mu_0.8 0.8 2
graph_52_mu_0.8 0.8 2
graph_53_mu_0.8 0.8 2
graph_54_mu_0.8 0.8 2
graph_55_mu_0.8 0.8 2
graph_56_mu_0.8 0.8 2
graph_57_mu_0.8 0.8 2
graph_58_mu_0.8 0.8 2
graph_59_mu_0.8 0.8 2
graph_60_mu_0.8 0.8 2
graph_61_mu_0.8 0.8 2
graph_62_mu_0.8 0.8 2
graph_63_mu_0.8 0.8 2
graph_64_mu_0.8 0.8 2
graph_65_mu_0.8 0.8 2
graph_66_mu_0.8 0.8 2
graph_67_mu_0.8 0.8 2
graph_68_mu_0.8 0.8 2
graph_69_mu_0.8 0.8 2
graph_70_mu_0.8 0.8 2
graph_71_mu_0.8 0.8 2
graph_72_mu_0.8 0.8 2
graph_73_mu_0.8 0.8 2
graph_74_mu_0.8 0.8 2
graph_75_mu_0.8 0.8 2
graph_76_mu_0.8 0.8 2
graph_77_mu_0.8 0.8 2
graph_78_mu_0.8 0.8 2
graph_79_mu_0.8 0.8 2
graph_80_mu_0.8 0.8 2
graph_81_mu_0.8 0.8 2
graph_82_mu_0.8 0.8 2
graph_83_mu_0.8 0.8 2
graph_84_mu_0.8 0.8 2
graph_85_mu_0.8 0.8 2
graph_86_mu_0.8 0.8 2
graph_87_mu_0.8 0.8 2
graph_88_mu_0.8 0.8 2
graph_89_mu_0.8 0.8 2
graph_90_mu_0.8 0.8 2
graph_91_mu_0.8 0.8 2
graph_92_mu_0.8 0.8 2
graph_93_mu_0.8 0.8 2
graph_94_mu_0.8 0.8 2
graph_95_mu_0.8 0.8 2
graph_96_mu_0.8 0.8 2
graph_97_mu_0.8 0.8 2
graph_98_mu_0.8 0.8 2
graph_99_mu_0.8 0.8 2
graph_100_mu_0.8 0.8 2
